HS CODE,PRODUCT DESCRIPTION,CONSIGNEE,CONSIGNEE ADDRESS,COUNTRY OF ORIGIN,ARRIVAL DATE,QUANTITY,UNIT,UNIT PRICE IN USD,CURRENCY,PRICE IN INR,TOTAL PRICE IN INR,INDIAN PORT,TRANSPORTATION TYPE,BILL OF LADING
39151000,MAGNETS,NORDEX INDIA PRIVATE LIMITED, ,SPAIN,2022-09-03,9,PCS,3.53,EUR,284.38,2559.42,Madras Air,AIR,2289782
39151000,MAGNETS,NORDEX INDIA PRIVATE LIMITED, ,SPAIN,2022-09-03,10,PCS,3.53,EUR,284.38,2843.8,Madras Air,AIR,2289782
39151000,MAGNETS,NORDEX INDIA PRIVATE LIMITED, ,SPAIN,2022-09-03,38,PCS,3.53,EUR,284.38,10806.46,Madras Air,AIR,2289782
39151000,01X40'CONTAINER STC:PLASTIC POLYETHYLENE WASTE-SCRAP NON HAZARDOUS,RENEW PLASTICS, ,United States,2022-02-27,16,MTS,639.34,USD,48621.93,777950.9,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE-SCRAP NON-HAZARDOUS,SHIVAM SCRAP RECYCLING PVT LTD, ,United States,2022-02-23,19,MTS,638.07,USD,48525.19,921978.58,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE - SCRAP NON HAZARDOUS,SHIVAM SCRAP RECYCLING PVT LTD, ,United States,2022-02-23,20,MTS,664.04,USD,50500.41,1010008.24,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE-SCRAP NON-HAZARDOUS,SHIVAM SCRAP RECYCLING PVT LTD, ,United States,2022-02-23,31,MTS,648.71,USD,49334.15,1529358.74,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE FILM IN BALES FOR RECYCLING NON HAZARDOUS,MOKSHSTAR INTERNATIONAL, ,United States,2022-02-21,17,MTS,488.54,USD,37153.57,631610.72,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE FILM IN BALES FOR RECYCLING NON HAZARDOUS,MOKSHSTAR INTERNATIONAL, ,United States,2022-02-21,39,MTS,565.59,USD,43012.78,1677498.6,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE FILM IN BALES FOR RECYCLING NON HAZARDOUS,SATGURU POLYFAB PVT LTD, ,United States,2022-02-21,39,MTS,566,USD,43043.98,1678715.16,Kandla-EPZ/SEZ, , 
39151000,PLASTIC PE POLYETHYLENE WASTE-SCRAP FLAKES-PIECES OF IRREGULAR SHAPE NON HAZARDOUS AND NON TOXIC,PRASAR ENTERPRISES, ,Saudi Arabia,2022-02-21,24,MTS,794.89,USD,60451.71,1450841.04,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE FILM IN BALES FOR RECYCLING NON HAZARDOUS,SATGURU POLYFAB PVT LTD, ,United States,2022-02-21,20,MTS,570.48,USD,43385.05,867701.06,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE FILM FOR RECYCLING,SATGURU POLYFAB PVT LTD, ,Canada,2022-02-21,18,MTS,586.18,USD,44579.29,802427.14,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE-SCRAP NON HAZARDOUS,SATGURU POLYFAB PVT LTD, ,United States,2022-02-21,16,MTS,296.77,USD,22569.54,361112.6,Kandla-EPZ/SEZ, , 
39151000,PLASTIC PE POLYETHYLENE WASTE-SCRAP FLAKES-PIECES OF IRREGULAR SHAPE NON HAZARDOUS AND NON TOXIC,PRASAR ENTERPRISES, ,United Arab Emirates,2022-02-21,20,MTS,825.58,USD,62785.71,1255714.14,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE FILM IN BALES FOR RECYCLING,SATGURU POLYFAB PVT LTD, ,United States,2022-02-21,21,MTS,562.74,USD,42796.49,898726.3,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE SCRAP NON HAZARDOUS,ONE WORLD, ,United States,2022-02-21,37184,KGS,0.62,USD,47.52,1767006.78,Kandla-EPZ/SEZ, , 
39151000,LINEAR DENSITY POLYETHYLENE PLASTIC WASTE-SCRAPS NON- HAZARDOUS - NON-TOXIC,ANSA POLYMERS LIMITED, ,United Arab Emirates,2022-02-21,34080,KGS,0.72,USD,54.73,1865220.32,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE SCRAP NON HAZARDOUS,ONE WORLD, ,Canada,2022-02-21,19042,KGS,0.57,USD,43.4,826515.62,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE FILMS IN BALES FOR RECYCLING NON HAZARDOUS,SATGURU POLYFAB PVT LTD, ,United States,2022-02-21,39,MTS,573.23,USD,43594.22,1700174.42,Kandla-EPZ/SEZ, , 
39151000,02X40'CONTAINERS STC:PLASTIC POLYETHYLENE FILM IN BALES FOR RECYCLING NON HAZARDOUS,RENEW PLASTICS, ,United States,2022-02-20,36,MTS,354.59,USD,26966.57,970796.38,Kandla-EPZ/SEZ, , 
39151000,01X40'CONTAINER STC:PLASTIC POLYETHYLENE FILM IN BALES FOR RECYCLING NON HAZARDOUS,RENEW PLASTICS, ,United States,2022-02-20,18,MTS,500.68,USD,38076.49,685376.9,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE - SCRAP NON HAZARDOUS,R R VIBRANT POLYMERS LIMITED, ,United States,2022-02-19,38,MTS,594.31,USD,45197.16,1717491.9,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYRTHLENE WASTE SCREP NON HAZARDOUS,BLAZE INTERNATIONAL, ,United States,2022-02-19,33,MTS,513.31,USD,39037.4,1288234.18,Kandla-EPZ/SEZ, , 
39151000,RECYCLABLE POLYETHYLENE VIRGIN LLDPE,R R VIBRANT POLYMERS LIMITED, ,United States,2022-02-19,35,MTS,572.86,USD,43565.98,1524809.22,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE -SCRAP NON HAZARDOUS,R R VIBRANT POLYMERS LIMITED, ,United States,2022-02-19,51,MTS,575,USD,43728.7,2230163.9,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE SCRAP NON HAZARDOUS,BLAZE INTERNATIONAL, ,United States,2022-02-19,36,MTS,569.36,USD,43300.15,1558805.56,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE SCRAP NON HAZARDOUS,BLAZE INTERNATIONAL, ,United States,2022-02-19,19,MTS,476.98,USD,36274.57,689216.76,Kandla-EPZ/SEZ, , 
39151000,RECYCLABLE POLYETHYLENE VIRGIN LLDPE,R R VIBRANT POLYMERS LIMITED, ,United States,2022-02-19,13,MTS,491.23,USD,37357.93,485653.12,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE-SCRAP NON-HAZARDOUS,OSWAL AGRICOMM PRIVATE LIMITED, ,United States,2022-02-18,18,MTS,508.21,USD,38649.05,695682.88,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE SCRAP NON HAZARDOUS,KUTCH POLYMERS, ,United States,2022-02-16,42,MTS,627.28,USD,47516.1,1995676.4,Kandla-EPZ/SEZ, , 
39151000,PLASTIC FILM IN BALES FOR RECYCLING NON HAZARDOUS,SATGURU POLYFAB PVT LTD, ,United States,2022-02-15,18,MTS,571.14,USD,43264.18,778755.28,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE-SCRAP NON HAZARDOUS,PRASAR ENTERPRISES, ,United States,2022-02-15,18,MTS,575.58,USD,43600.35,784806.26,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE-SCRAP NON HAZARDOUS,PRASAR ENTERPRISES, ,United States,2022-02-15,56,MTS,564.96,USD,42795.67,2396557.34,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE-SCRAP NON HAZARDOUS,PRASAR ENTERPRISES, ,United States,2022-02-15,39,MTS,595.15,USD,45082.55,1758219.28,Kandla-EPZ/SEZ, , 
39151000,PLASTIC PE POLYETHYLENE WASTE-SCRAP FLAKES-PIECES OF IRREGULAR SHAPE NON HAZARDOUS AND NON TOXIC,PRASAR ENTERPRISES, ,United Arab Emirates,2022-02-15,86,MTS,827.04,USD,62647.99,5387726.88,Kandla-EPZ/SEZ, , 
39151000,LINEAR DENSITY POLYETHYLENE PLASTIC WASTE-SCRAPS NON- HAZARDOUS - NON-TOXIC,ANSA POLYMERS LIMITED, ,United Arab Emirates,2022-02-14,17210,KGS,0.72,USD,54.5,938026.96,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE NON-HAZARDOUS,OSWAL AGRICOMM PRIVATE LIMITED, ,United States,2022-02-14,22,MTS,605.9,USD,45896.75,1009728.52,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE SCRAP WASTE NON HAZARDOUS,BLAZE INTERNATIONAL, ,United States,2022-02-14,18,MTS,577.68,USD,43759.28,787667.1,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE SCRAP WASTE NON HAZARDOUS,BLAZE INTERNATIONAL, ,United States,2022-02-14,31,MTS,601.78,USD,45585.17,1413140.26,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE - SCRAP NON HAZARDOUS,R R VIBRANT POLYMERS LIMITED, ,United States,2022-02-12,34,MTS,627.53,USD,47535.21,1616197,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE SCRAP WASTE NON HAZARDOUS,BLAZE INTERNATIONAL, ,United States,2022-02-12,34,MTS,564.56,USD,42765.67,1454032.66,Kandla-EPZ/SEZ, , 
39151000,RECYCLABLE POLYETHYLENE VIRGIN LLDPE NON HAZARDOUS,R R VIBRANT POLYMERS LIMITED, ,United States,2022-02-12,18,MTS,606.3,USD,45926.95,826685.08,Kandla-EPZ/SEZ, , 
39151000,PLASTIC PE POLYETHYLENE WASTE-SCRAP FLAKES-PIECES OF IRREGULAR SHAPE NON HAZARDOUS AND NON TOXIC,PRASAR ENTERPRISES, ,Qatar,2022-02-11,26,MTS,793.7,USD,60123.06,1563199.68,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYTHYLENE WASTE SCRAP NON HAZARDOUS,ONE WORLD, ,Canada,2022-02-10,15105,KGS,0.57,USD,43.41,655641.48,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYTHYLENE WASTE SCRAP NON HAZARDOUS,ONE WORLD, ,Canada,2022-02-09,16870,KGS,0.47,USD,35.92,606006.72,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE FILMS FOR RECYCLING,SATGURU POLYFAB PVT LTD, ,Canada,2022-02-09,20,MTS,608.44,USD,46089.64,921792.84,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE FILM IN BALES NON HAZARDOUS,SHREEJI POLYMERS, ,United States,2022-02-08,20,MTS,545.41,USD,41314.98,826299.54,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE FILMS FOR RECYCLING,SATGURU POLYFAB PVT LTD, ,Canada,2022-02-08,21,MTS,574.57,USD,43523.77,913999.16,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE FILM IN BALES NON HAZARDOUS,SHREEJI POLYMERS, ,United States,2022-02-08,20,MTS,558.47,USD,42303.91,846078.26,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE-SCRAP NON-HAZARDOUS,SHIVAM SCRAP RECYCLING PVT LTD, ,United States,2022-02-07,38,MTS,655.19,USD,49630.9,1885974.36,Kandla-EPZ/SEZ, , 
39151000,LDPE FILM IN BALES NON HAZARDOUS AND NON TOXIC,Harish Processors Pvt Ltd, ,United States,2022-02-05,17,MTS,476.18,USD,36070.65,613201,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE - SCRAP NON HAZARDOUS,R R VIBRANT POLYMERS LIMITED, ,United States,2022-02-05,14,MTS,637.18,USD,48266.66,675733.22,Kandla-EPZ/SEZ, , 
39151000,RECYCLABLE POLYETHYLENE VIRGIN LLDPE,R R VIBRANT POLYMERS LIMITED, ,United States,2022-02-05,16,MTS,433.98,USD,32874.22,525987.56,Kandla-EPZ/SEZ, , 
39151000,01X40'CONTAINER STC:PLASTIC POLYETHYLENE FILM IN BALES FOR RECYCLING NON HAZARDOUS,RENEW PLASTICS, ,United States,2022-02-05,20,MTS,550.01,USD,41663.41,833268.12,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE FILM IN BALES NON HAZARDOUS,SATGURU POLYFAB PVT LTD, ,United States,2022-02-02,17,MTS,550.47,USD,41450.1,704651.68,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE FILM IN BALES NON HAZARDOUS,SATGURU POLYFAB PVT LTD, ,United States,2022-02-02,52,MTS,574.54,USD,43263.08,2249679.92,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE SCRAP NON HAZARDOUS,POLYREC PROCESSORS PVT LTD, ,United States,2022-02-02,34600,KGS,0.58,USD,43.57,1507545.02,Kandla-EPZ/SEZ, , 
39151000,01X40'CONTAINER STC:PLASTIC POLYETHYLENE FILM-LUMPS FOR RECYCLING NON HAZARDOUS,RENEW PLASTICS, ,United States,2022-02-01,19,MTS,699.45,USD,52668.76,1000706.44,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE-SCRAP NON HAZARDOUS,PRASAR ENTERPRISES, ,United States,2022-02-01,18,MTS,603.45,USD,45439.49,817910.9,Kandla-EPZ/SEZ, , 
39151000,PLASTIC POLYETHYLENE WASTE-SCRAP NON HAZARDOUS,PRASAR ENTERPRISES, ,United States,2022-02-01,39,MTS,604.3,USD,45503.43,1774633.96,Kandla-EPZ/SEZ, , 
39151000,01X40'CONTAINER STC:PLASTIC POLYETHYLENE WASTE-SCRAP NON HAZARDOUS,RENEW PLASTICS, ,United States,2022-02-01,18,MTS,511.91,USD,38547.01,693846.2,Kandla-EPZ/SEZ, , 
39151000,KY1 AVN PANEL FILM,DMC AUTOMOTIVE PRIVATE LIMITED, ,South Korea,2021-11-24,1000,PCS,0.73,USD,54.95,54946.16,Madras Air,AIR,6386560
39151000,KY1 D2V PANEL FILM,DMC AUTOMOTIVE PRIVATE LIMITED, ,South Korea,2021-11-24,2000,PCS,0.73,USD,54.95,109892.33,Madras Air,AIR,6386560
39151000,PLASTIC WASTE/SCRAP (NON TOXIC / NON HAZARDOUS) -,"AASU PLASTICS PVT.LTD.,", ,UNITED STATES,2019-06-15,16928,KGS,0.4,USD,27.84,476015.36,ICD TUMB, ,3670801
39151000,PLASTIC WASTE/SCRAP ( NON TOXIC /NON HAZARDOUS) -,"AASU PLASTICS PVT.LTD.,", ,UNITED STATES,2019-05-23,72376,KGS,0,USD,22.72,1644148.78,ICD TUMB, ,3354462
39151000,PLASTIC WASTE/SCRAP (NON TOXIC / NON HAZARDOUS)(CIPET TR NO: - CIPET/AURANGABAD/TEST REPORT/WO-2152/2018-19/2321/4442 DT.12,"AASU PLASTICS PVT.LTD.,", ,UNITED STATES,2019-05-03,18652,KGS,0,USD,28.5,531526.51,ICD TUMB, ,3092788
39151000,PLASTIC WASTE/SCRAP (NON TOXIC / NON HAZARDOUS)(CIPET TR NO: - CIPET/AURANGABAD/TEST REPORT/WO-2152/2018-19/2321/4442 DT.12,"AASU PLASTICS PVT.LTD.,", ,UNITED STATES,2019-05-01,39090,KGS,0,USD,30.26,1182730.5,ICD TUMB, ,3062488
39151000,PLASTIC WASTE/SCRAP (NON TOXIC / NON HAZARDOUS)(CIPET TR NO: - CIPET/AURANGABAD/TEST REPORT/WO-2152/2018-19/2321/4442 DT.12,"AASU PLASTICS PVT.LTD.,", ,UNITED STATES,2019-05-01,19454,KGS,0,USD,19.58,380866.52,ICD TUMB, ,3062488
39151000,"FILM,LDPE C2.25 BU 61'(8000 LY) -","AASU PLASTICS PVT.LTD.,", ,UNITED STATES,2019-03-30,20810,KGS,0.28,USD,19.47,405099.17,ICD TUMB, ,2642284
39151000,"FILM,LDPE C2.25 BU 61'(8000 LY) -","AASU PLASTICS PVT.LTD.,", ,UNITED STATES,2019-03-30,17118,KGS,0.28,USD,19.47,333228.62,ICD TUMB, ,2642541
39151000,"FILM,LDPE C2.25 BU 61'(8000 LY) -","AASU PLASTICS PVT.LTD.,", ,UNITED STATES,2019-03-16,33838,KGS,0.28,USD,19.74,668119.68,ICD TUMB, ,2447618
39151000,"FILM,LDPE C2.25 BU 61'(8000 LY) -","AASU PLASTICS PVT.LTD.,", ,BELGIUM,2019-03-04,38820,KGS,0.35,USD,25.2,978264,ICD TUMB, ,2276599
39151000,"FILM,LDPE C2.25 BU 61'(8000 LY) -","AASU PLASTICS PVT.LTD.,", ,UNITED STATES,2019-03-04,37331,KGS,0.4,USD,29.12,1087228.04,ICD TUMB, ,2277276
39151000,"FILM,LDPE C2.25 BU 61'(8000 LY) -","AASU PLASTICS PVT.LTD.,", ,UNITED STATES,2019-03-04,56618,KGS,0.28,USD,20.02,1133648.06,ICD TUMB, ,2277335
39151000,"FILM,LDPE C2.25 BU 61'(8000 LY) -",SEAL FOR LIFE INDIA PRIVATE LIMITED, ,UNITED STATES,2018-12-22,663,KGS,11.48,USD,820.06,543698.31,Bombay Air,AIR,9365907
39151000,BP PET - 95 ( PET BOTTLE SCRAP) -,REJOIS ISPAT PRIVATE LIMITED, ,UNITED KINGDOM,2018-03-08,14560,KGS,0.27,GBP,17.98,261848,Nhava Sheva Sea,SEA,5499285
39151000,LLDPE PLASTIC SCRAP (NON HAZARDOUS),SHREE BHAVANI ENGINEERING WORKS, ,Australia,2018-02-14,14,MTS,445.54,AUD,28737.5,402325,Nhava Sheva Sea,SEA,5206935
39151000,LLDPE PLASTIC SCRAP (NON HAZARDOUS),SHREE BHAVANI ENGINEERING WORKS, ,Australia,2018-02-14,2,MTS,445.54,AUD,28737.5,67245.8,Nhava Sheva Sea,SEA,5206935
39151000,PLASTIC SCRAP ( NON HAZARDOUS ) SIL NO 0350003088 DT 11.02.2 - 016,SHREE BHAVANI ENGINEERING WORKS,"W-67, T.T.C. INDUSTRIAL AREA,M.I.D.C., RABALE,",GERMANY,2018-02-08,3000,KGS,0.25,USD,16.12,48375,Nhava Sheva Sea,SEA,5130655
39151000,PLASTIC SCRAP ( NON HAZARDOUS ) SIL NO 0350003088 DT 11.02.2 - 016,SHREE BHAVANI ENGINEERING WORKS,"W-67, T.T.C. INDUSTRIAL AREA,M.I.D.C., RABALE,",GERMANY,2018-02-08,55620,KGS,0.25,USD,16.12,896872,Nhava Sheva Sea,SEA,5130655
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,Germany,2018-02-07,116940,KGS,0.35,USD,22.28,2604930,Nhava Sheva Sea,SEA,5111082
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,Germany,2018-02-07,2900,KGS,0.35,USD,22.28,64599.8,Nhava Sheva Sea,SEA,5111082
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,Germany,2018-02-07,112580,KGS,0.25,USD,15.82,1780910,Nhava Sheva Sea,SEA,5111082
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,Germany,2018-02-07,15230,KGS,0.42,USD,26.79,408082,Nhava Sheva Sea,SEA,5111799
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,Germany,2018-02-07,3210,KGS,0.42,USD,26.79,86010.7,Nhava Sheva Sea,SEA,5111799
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,Germany,2018-02-07,101000,KGS,0.35,USD,22.58,2280080,Nhava Sheva Sea,SEA,5111818
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,Germany,2018-02-07,3580,KGS,0.35,USD,22.58,80818.5,Nhava Sheva Sea,SEA,5111818
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,Germany,2018-02-07,105720,KGS,0.25,USD,16.12,1704740,Nhava Sheva Sea,SEA,5111818
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/216,SHREE BHAVANI ENGINEERING WORKS, ,Germany,2018-02-07,101190,KGS,0.33,USD,21.31,2155860,Nhava Sheva Sea,SEA,5111985
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/216,SHREE BHAVANI ENGINEERING WORKS, ,Germany,2018-02-07,3000,KGS,0.33,USD,21.31,63915.2,Nhava Sheva Sea,SEA,5111985
39151000,PLASTIC SCRAP ( NON HAZARDUS ) SIL NO 0350003088 DT 11.02.2 - 016,SHREE BHAVANI ENGINEERING WORKS,"W-67, T.T.C. INDUSTRIAL AREA,M.I.D.C., RABALE,",GERMANY,2018-02-07,21420,KGS,0.33,USD,21.28,455925,Nhava Sheva Sea,SEA,5112777
39151000,PLASTIC SCRAP ( NON HAZARDUS ) SIL NO 0350003088 DT 11.02.2 - 016,SHREE BHAVANI ENGINEERING WORKS,"W-67, T.T.C. INDUSTRIAL AREA,M.I.D.C., RABALE,",GERMANY,2018-02-07,3000,KGS,0.33,USD,21.28,63855,Nhava Sheva Sea,SEA,5112777
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/2 - 016,SHREE BHAVANI ENGINEERING WORKS,"W-67, T.T.C. INDUSTRIAL AREA,M.I.D.C., RABALE,",GERMANY,2018-02-07,106220,KGS,0.33,USD,21.3,2263010,Nhava Sheva Sea,SEA,5113096
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/2 - 016,SHREE BHAVANI ENGINEERING WORKS,"W-67, T.T.C. INDUSTRIAL AREA,M.I.D.C., RABALE,",GERMANY,2018-02-07,3000,KGS,0.33,USD,21.3,63914.9,Nhava Sheva Sea,SEA,5113096
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/ - 2016,SHREE BHAVANI ENGINEERING WORKS,"W-67, T.T.C. INDUSTRIAL AREA,M.I.D.C., RABALE,",GERMANY,2018-02-07,3580,KGS,0.25,USD,16.12,57727.5,Nhava Sheva Sea,SEA,5113142
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/ - 2016,SHREE BHAVANI ENGINEERING WORKS,"W-67, T.T.C. INDUSTRIAL AREA,M.I.D.C., RABALE,",GERMANY,2018-02-07,110420,KGS,0.25,USD,16.12,1780520,Nhava Sheva Sea,SEA,5113142
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/216,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-22,209700,KGS,0.35,USD,22.7,4760240,Nhava Sheva Sea,SEA,4909915
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/216,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-22,3000,KGS,0.35,USD,22.7,68100.6,Nhava Sheva Sea,SEA,4909915
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/216,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-22,17000,KGS,0.42,USD,26.92,457596,Nhava Sheva Sea,SEA,4909918
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/216,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-22,2680,KGS,0.42,USD,26.92,72138.6,Nhava Sheva Sea,SEA,4909918
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/216,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-22,218000,KGS,0.26,USD,16.87,3677240,Nhava Sheva Sea,SEA,4909914
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:0350003088 DT 11/02/216,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-22,3910,KGS,0.26,USD,16.87,65954.1,Nhava Sheva Sea,SEA,4909914
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:035003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,CANADA,2018-01-05,3175,KGS,0.33,USD,20.98,66622.6,Nhava Sheva Sea,SEA,4697457
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:035003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,CANADA,2018-01-05,27800,KGS,0.33,USD,20.98,583341,Nhava Sheva Sea,SEA,4697457
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:035003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-01,18800,KGS,0.35,USD,22.72,427042,Nhava Sheva Sea,SEA,4637032
39151000,PLASTIC SCRAP (NON HAZARDOUS) SIL NO.:035003088 DT 11/02/2016,SHREE BHAVANI ENGINEERING WORKS, ,GERMANY,2018-01-01,700,KGS,0.35,USD,22.72,15900.5,Nhava Sheva Sea,SEA,4637032